# Restaurant: L'è Bon
# Address: Via Rialto, 54, Bologna, 40124
Primi;Mezze Maniche al Pomodoro e Basilico;;7.5
Primi;Tagliolini al Ragù di Pesce;;12.0
Primi;Tagliatelle al Ragù;;7.5
Primi;Gramigna con Salsiccia;;8.0
Primi;Tortellone con Ripieno di Ricotta e Prezzemolo, Burro e Salvia;;8.0
Primi;Tortellini con Panna;;8.5
Primi;Lasagna Verde al Ragù;350g;8.5
Primi;Passatelli con Crema di Gorgonzola e Noci;;9.0
Primi;Stringhetti all'Ortica con Funghi Porcini;;9.0
Primi;Lasagna con Radicchio Trevigiano;;9.0
Secondi;Hamburger di Melanzane;;7.5
Secondi;Polpettone di Verdure con Crema di Broccoli;;7.5
Secondi;Cotoletta di Pollo alla Milanese;;8.0
Secondi;Cotoletta di Pollo alla Bolognese;;9.0
Secondi;Seppia in Umido;;10.0
Secondi;Stinco di Maiale al Miele;;9.0
Secondi;Polpette di Bollito con Salsa Verde;;10.0
Secondi;Galletto Intero con Pancetta al Forno con Patate;500g;12.0
Secondi;Arista di Maiale con Insalatina Tiepida di Capperi, Peperoni, Sedano e Olive Nere;;10.0
Secondi;Polpette di Baccalà con Senape al Miele;;12.0
Contorni;Purè di Patate;;3.5
Contorni;Patate al Forno con Buccia;;3.5
Contorni;Verza Stufata;;4.0
Contorni;Erbette Miste Stufate con Parmigiano;;4.0
Contorni;Verdure alla Griglia;;4.0
Insalate;Insalata Verde;;3.0
Dolci;Tenerina;;3.5
Dolci;Mascarpone;;3.5
Dolci;Tiramisù;;4.0
Dolci;Cheesecake con Topping al Cioccolato;;4.0
Dolci;Cheesecake con Frutti di Bosco;;4.0
Dolci;Tenerina con Mascarpone;;4.0
Dolci;Torta di Riso;;4.0
Dolci;Strudel di Mele con Crema di Arancia;;4.0
Extra;Pane;;0.5
Extra;Posate;;0.2
Bevande;Acqua Naturale;50cl;1.0
Bevande;Acqua Frizzante;50cl;1.0
Bevande;Bibita;;2.5
Birre Artigianali;La Bassa Lager 33cl;;5.0
Birre Artigianali;Morning Glory Apa 33cl;;5.0
Birre Artigianali;Saison 33cl;;5.0
Birre Artigianali;Statale 52;;5.0
Birre Artigianali;Falesia Rossa;;5.0
Vini Rossi;Raboso Leggermente Frizzante;;7.0
Vini Rossi;Merlot;;7.0
Vini Rossi;Cabernet Franc;;7.0
Vini Bianchi Fermi;Prosecco Fermo;;7.0
Bollicine;Prosecco Frizzante;;7.0
Bollicine;Prosecco Dry;;10.0
