# Restaurant: Pizzeria Il Portico - Aldini
# Address: Viale Aldini, 2, Bologna, 40136
Pizze;Marinara;pomodoro, olio agliato e origano;3.5
Pizze;Margherita;pomodoro e mozzarella;4.0
Pizze;Napoletana;pomodoro, mozzarella, acciughe e origano;5.0
Pizze;Romana;pomodoro, mozzarella, acciughe, capperi e origano;5.5
Pizze;Siciliana;pomodoro, acciughe, olive, capperi e origano;5.5
Pizze;Funghi;pomodoro, mozzarella e funghi;5.0
Pizze;Carciofi;pomodoro, mozzarella e carciofi;5.0
Pizze;Prosciutto Cotto;pomodoro, mozzarella e prosciutto cotto;5.0
Pizze;Cipolla;pomodoro, mozzarella e cipolla;5.0
Pizze;Wurstel;pomodoro, mozzarella e wurstel;5.0
Pizze;Salsiccia;pomodoro, mozzarella e salsiccia;5.0
Pizze;Salame Piccante;pomodoro, mozzarella e salame piccante;5.0
Pizze;Salame;pomodoro, mozzarella e salame normale;5.0
Pizze;Salsiccia e Pisellini;pomodoro, mozzarella, salsiccia e piselli;6.5
Pizze;Gorgonzola e Noci;pomodoro, mozzarella, gorgonzola e noci;6.0
Pizze;Prosciutto Crudo;pomodoro, mozzarella e prosciutto crudo;5.5
Pizze;Melanzane;pomodoro, mozzarella e melanzane;5.0
Pizze;Peperoni;pomodoro, mozzarella e peperoni;5.0
Pizze;Zucchine;pomodoro, mozzarella e zucchine;5.0
Pizze;Radicchio;pomodoro, mozzarella e radicchio;5.0
Pizze;Doppia Mozzarella;pomodoro e doppia mozzarella;5.5
Pizze;Capricciosa;pomodoro, mozzarella, carciofi, prosciutto, funghi e olive;6.0
Pizze;4 Stagioni;pomodoro, mozzarella, prosciutto, funghi, carciofi e salsiccia;6.0
Pizze;4 Formaggi;pomodoro, mozzarella, fontina, gorgonzola e grana;6.0
Pizze;Rustica;pomodoro, mozzarella, salsiccia, cipolla, prosciutto e funghi;6.5
Pizze;Patate;pomodoro, mozzarella e patate;5.5
Pizze;Del Portico;a sorpresa;6.5
Pizze;Verdure;pomodoro, mozzarella e verdure miste;6.0
Pizze;Tonno e Cipolla;pomodoro, mozzarella, tonno e cipolla;6.0
Pizze;Saracena;pomodoro fresco e mozzarella;5.5
Pizze;Speck e Rucola;pomodoro, mozzarella, speck e rucola;6.0
Pizze;Pugliese;pomodoro, mozzarella, cipolla, grana e olive nere;6.0
Pizze;Stracchino e Rucola;pomodoro, mozzarella, stracchino e rucola;6.5
Pizze;Contadina;pomodoro, mozzarella, peperoni, salame piccante e olive nere;6.0
Pizze;Frutti di Mare;pomodoro e frutti di mare;7.5
Pizze;Caprese;pomodoro, mozzarella di bufala, basilico e grana;7.0
Pizze;Carbonara;pomodoro, mozzarella, pancetta, uovo, pepe e grana;7.0
Pizze;Scamorza;pomodoro, mozzarella e scamorza;5.5
Pizze;Bresaola;pomodoro, mozzarella e bresaola;8.0
Pizze;Mortadella;pomodoro, mozzarella e mortadella;4.5
Pizze;Porcini;pomodoro, mozzarella e funghi porcini;6.5
