# Restaurant: Taj Mahal Indian Food
# Address: Via Capo di Lucca, 2, Bologna, 40126
Menù;Menù Doner;kebab con panino o rotolo, patatine e coca cola;7.0
Menù;Maxi Menù;maxi kebab, patate fritte e coca cola;7.5
Menù;Menù Pratha;pratha kebab, patate fritte e coca cola;8.5
Menù;Doner King Menù;doner king, pane e coca cola;9.0
Menù;Menù Alette di Pollo;alette di pollo con patate fritte e coca cola;7.0
Menù;Menù Falafel;falafel rotolo o panino con patate fritte e coca cola;7.0
Antipasti;Mix Pakora;verdure miste con pastella di farina di ceci, pane indiano, insalata, pomodori e salse;4.5
Antipasti;Falafel;falafel, salse, pane, insalata e pomodoro;5.5
Antipasti;Samosa;"sandwich indiano ripieno di patate, pomodoro, insalata e salse
2 pezzi";3.5
Antipasti;Sabzi Samosa;"sandwich indiano ripieno di verdure, insalata, pomodoro e salse
2 pezzi";3.5
Antipasti;Keema Samosa;sandwich indiano, ripieno di carne macinata, pomodoro, insalata e salse, 2 pezzi;4.5
Antipasti;Patate Fritte;ketchup o maionese in busta;2.5
Antipasti;Allo Kiticki;"polpette di patate speziate, salse indiane, insalata e pomodoro
2 pezzi";3.5
Antipasti;Chicken Roll;"involtini di pollo e verdura, insalata, pomodoro e salse
3 pezzi";5.0
Antipasti;Tandoori Allo;patate ripiene con formaggio, spezie, insalata, salse, pomodoro e pane;5.5
Antipasti;Roll Vegetariano;"involtini di verdure miste con insalata e pomodoro
3 pezzi";3.0
Antipasti;Chicken Nuggets;"crocchette di pollo con patate fritte
5 pezzi";5.0
Antipasti;Shami Kebab;polpette di pollo e misto di legumi macinato con salse;4.0
Antipasti;Onion Rings;anelli di cipolla fritte con salse;3.0
Antipasti;Rayta;salsa di yogurt con cipolle, pomodoro, cetrioli e spezie;3.0
Antipasti;Misto di Antipasti;tutti i tipi di antipasti misto;10.0
Antipasti;Nuggets Parmigiana;nuggets di melanzane e formaggio;4.0
Kebab Carne;Doner King Kebab;carne al girarrosto, riso basmati con verdure, insalata, patate fritte, pomodoro e salse;8.0
Kebab Carne;Doner Girarrosto Panino;girarrosto di pollo, insalata, patate fritte, pomodoro e salse;4.5
Kebab Carne;Pratha Kebab;"pane ripieno di burro con 
carne di pollo al forno speziato, sottiletta, insalata, pomodoro, 
cipolla, patatine, yogurt, ketchup, maionese e salsa piccante";6.5
Kebab Carne;Maxi Kebab;girarrosto di pollo, formaggio, insalata, pomodoro, salse e patatine fritte;6.5
Kebab Carne;Kebab in Piatto;girarrosto di pollo, patate fritte, insalata, pomodoro, salse e pane;6.5
Kebab Carne;Doner Kebab Plater;carne di girarrosto, insalata, salse, pane e patate fritte;6.5
Kebab Carne;Maxi Kebab Plater;carne di girarrosto, insalata, salse, pane con formaggio e patate fritte;7.5
Kebab Carne;Pratha Kebab Plater;carne di pollo macinato al forno, insalata, salse, patate fritte e pane con burro;8.0
Kebab Carne;Maxi Seekh Kebab Plater;carne di pollo macinato al forno, insalata, salse, patate fritte e pane con formaggio;7.5
Kebab Carne;Ticka Boti Kebab;petto di pollo al forno con insalata, salse, patate fritte e pane;7.5
Kebab Carne;Taj Mahal Special Kebab;carne di girarrosto, pollo macinato al forno, falafel con insalata, salse, patate fritte e pane;8.0
Kebab Carne;Rotolo Doner Girarrosto;girarrosto di pollo, insalata, patate fritte, pomodoro e salse;5.0
